Industry,Amount,Percent
Architectural Engineering and Related Services,297164.1667,0.057815979
Business Schools and Computer and Management Training,38730.61665,0.007535392
Computer Systems Design and Related Services,187738.4688,0.036526219
Data Processing Hosting and Related Services,168704.08,0.032822906
General Medical and Surgical Hospitals,1622269.398,0.315627197
Management Scientific and Technical Consulting Services,393196.3118,0.076499902
Medical and Diagnostic Laboratories,266556.8525,0.051861049
Newspaper Periodical Book and Directory Publishers,180036.8134,0.035027792
Other Information Services,6833.899584,0.001329597
Scientific Research and Development Services,32747.29753,0.006371283
Software Publishers,13993.9507,0.00272265
Specialized Design Services,12378.4293,0.002408335
Telecommunications,1919477.384,0.373451701
